"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1036310353204989952","https://twitter.com/salahhegazi96/status/1036310353204989952","@moh_moh266 تقريبا فيه أكتر من موقع بنفس الاسم. لو معاك اللينك بتاعه ابعته!","2018-09-02 17:50 +0000","18.0","6.0","0.3333333333333333","0.0","2.0","0.0","0.0","0.0","0.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1036309820213739521","https://twitter.com/salahhegazi96/status/1036309820213739521","@moh_moh266 بتفرج من على كورا أونلاين وقارفني الصراحة. هشوف حاجة تانية بقى.","2018-09-02 17:48 +0000","32.0","3.0","0.09375","0.0","1.0","0.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1036309200614371328","https://twitter.com/salahhegazi96/status/1036309200614371328","@moh_moh266 بتتفرج من على أيه؟","2018-09-02 17:45 +0000","43.0","4.0","0.09302325581395349","0.0","1.0","1.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1036295160257306625","https://twitter.com/salahhegazi96/status/1036295160257306625","ليووووووووو⚽️⚽️","2018-09-02 16:49 +0000","131.0","1.0","0.007633587786259542","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1035912882385510400","https://twitter.com/salahhegazi96/status/1035912882385510400","-دا علم نفس.
*لأ دا علم اجتماع.

Taken by: @OsamaNasr___ https://t.co/wSriXCAAOz","2018-09-01 15:30 +0000","364.0","130.0","0.35714285714285715","0.0","0.0","3.0","1.0","0.0","0.0","4.0","0.0","0","0","0","0","0","150","122","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1035851114900541440","https://twitter.com/salahhegazi96/status/1035851114900541440","@_Mhamza0 👍","2018-09-01 11:25 +0000","49.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1035850989654433792","https://twitter.com/salahhegazi96/status/1035850989654433792","@_Mhamza0 😢","2018-09-01 11:24 +0000","43.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1035850944796401665","https://twitter.com/salahhegazi96/status/1035850944796401665","@_Mhamza0 😢","2018-09-01 11:24 +0000","48.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1035845119709200385","https://twitter.com/salahhegazi96/status/1035845119709200385","@_Mhamza0 @sayedelmohamady من غير ما تحلف مصدقك😂","2018-09-01 11:01 +0000","100.0","1.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1035844695430184961","https://twitter.com/salahhegazi96/status/1035844695430184961","@sayedelmohamady @_Mhamza0 😂😂","2018-09-01 10:59 +0000","84.0","4.0","0.047619047619047616","0.0","1.0","0.0","0.0","0.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
